,recipe_name,description,rating,num_ratings,author
0,Mushroom Rarebit with Poached Eggs - Recipe - Diet Doctor,"Rarebit is a staple of British fare and a common pub food, made of hot cheese served over bread. In this low-carb version, we substitute the bread for mushrooms and add poached eggs for extra protein.",5,2,Katie Caldesi
0,High Protein Italian Turkey Salad - Low Carb Recipe - Diet Doctor,"Quick, easy, and healthy. This tasty and nutrient-dense salad comes together in 6 minutes, tops! The pesto and sun-dried tomatoes go perfectly together with the turkey and crisp greens.",5,2,Jill Wallentin
0,Roast Beef With Keto No-tato Salad - Recipe - Diet Doctor,"You will not believe how good this 2-minute no-tato salad is. Instead of potatoes, we use zucchini, which gives it the right consistency minus all the carbs. Serve with roast beef, smoked salmon, or rotisserie chicken.",5,1,Jill Wallentin
0,Keto Rotisseri Chicken With Ranch Coleslaw - Recipe - Diet Doctor,"This is the perfect meal for busy weeknights that the whole family will love. In less than 10 minutes you'll have a healthy, low-carb, high protein meal on the table. No cooking required!",5,1,Jill Wallentin
0,Thai Tuna Salad Wrap - High Protein Keto Recipe - Diet Doctor,"This is the perfect high-protein lunch or dinner for busy weekdays. Fresh, colorful, and fuss-free with all the Thai flavors that you love. No cooking required!",5,1,Jill Wallentin
0,Herby Fishcakes with Zucchini Salad - Recipe - Diet Doctor,"These delicate fishcakes are simply made with white fish, onion, herbs, lightly fried, and served with a fresh ribboned zucchini salad. To bump up the healthy fats, add a dollop of sour cream to the fishcakes and some sliced avocado to the salad.",4.67,3,Katie Caldesi
0,Stuffed Keto Mushrooms - Recipe - Diet Doctor,"Tender mushrooms are wonderful containers for a myriad of stuffings. For this recipe, use any ground meat you like! For a vegetarian version, use drained and cooked beans such as edamame. Just be mindful of your daily carb count.",5,1,Katie Caldesi
0,Keto Spicy Green Omelete - Recipe - Diet Doctor,"Power up your morning with the ""Green Omelet"". Nutritious greens and high-protein eggs can be prepared quickly when hunger calls. The topping choices are infinite and depend on what’s in your fridge.",4,2,Katie Caldesi
0,Low-Carb Quichata - Recipe - Diet Doctor,All the flavor of a traditional Quiche Lorraine in a frittata style that you can make in less than 30 minutes. This is a great basic recipe that can be adapted to whatever is in your fridge and cupboards. It’s good hot or cold and perfect for lunchboxes. It also reheats well in a microwave.,5,2,Katie Caldesi
0,"Steak, Chips with Garlic, and Rosemary Butter- Recipe - Diet Doctor","Are you a steak and chip purist with a low-carb lifestyle? This recipe is for you. There is nothing to distract from the flavor of the meat other than a hint of garlic and rosemary. By using rutabaga instead of potato, you can still enjoy this classic dish and stay true to your low-carb diet.",5,1,Katie Caldesi
0,Grilled Paneer and Broccoli Sheet Pan - Low-Carb Recipe - Diet Doctor,Do you love Indian food but are intimidated by making it at home? Keep it simple with this low-carb broccoli and Indian paneer sheet pan meal. Feel free to experiment with different curry powders or enjoy a mix of them like chana masala powder.,5,1,Katie Caldesi
